,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
7406,Biwi No.1,Hindi,None,2 h 12 min,1999,NR,"""A happily married Prem stumbles upon a young and modern Rupali, who turns his married life upside down. But despite being hurt by her husband’s dishonesty, Pooja is willing to go to any extent to teach Prem a lesson and win him back. Will she succeed? What will Prem choose? Watch this quirky take on extramarital affairs and the resulting comedy of errors."""
7407,Behula Lakhindar,Bengali,5.2,2 h 15 min,2017,13+,A Bengali film about Behula’s effort to bring her husband Lakhindar back to life and reverse Goddess Manasa’s curse.
7408,Future To Bright Hai Ji,Hindi,6.2,1 h 56 min,2012,All,Two people's lives change when they approach an astrologer to predict their future.
7409,Time Kid,English,5.5,1 h 13 min,2002,7+,"When the teenaged son of the inventor of the Time Machine realizes that his father is lost in time, he embarks on a spectacular adventure, traveling further and further into the future to find his father and bring him home to 1902 America."
7410,Damsels in Distress,English,5.7,1 h 35 min,2011,13+,Violet is a student who seeks to transform life at her college. With friends Rose & Heather she takes under wing seemingly nice transfer student Lily who soon attracts the attentions of both “playboy-operator” Charlie (Adam Brody) & dreamboat grad student Xavier—but it’s Violet who end up crushed.
7411,Aankhen,Hindi,6.7,2 h 44 min,1993,13+,"Aankhen Is A Hit Bollywood Action Comedy Hindi Movie, Directed By David Dhawan And Produced By Pahlaj Nihalani, Starring Govinda And Kader Khan In Double Role. It Was Nominated For Two Filmfare Awards. A Gangster Kidnaps The Chief Minister And Replaces Him With One Of His Men Who Is A Lookalike. Meanwhile, Two Good-for-nothing Brothers Try To Save The Country From Going In The Wrong Hands."
7412,Parallel College,Malayalam,5.3,2 h 6 min,1991,NR,"Parallel College is a 1991 Indian Malayalam film, directed by Thulasidas, starring Suresh Gopi, Geetha, Mukesh, Mathu, Vijayaraghavan, Pappu, Mamukkoya. The film had musical score by Kannur Rajan, Mohan Sithara."
7413,Iti Srikanto,Bengali,None,2 h 1 min,2017,13+,"A Bengali film inspired by the novel Srikanta, about a man torn between two women: a courtesan and a Vaishnavite."
7414,Qaidi Band,Hindi,5.9,1 h 59 min,2017,13+,7 Prisoners. 1 Band. Music Will Set Them Free. A riveting tale of undertrials who come together to form a band in jail and their music becomes their only hope for freedom.
7415,Suhana Safar,Hindi,6.2,2 h 3 min,None,NR,"Sapna (Sharmila Tagore), flying back to India from the USA is involved in an airplane engine ""flameout"". She loves poetry, in particular the work of a poet called Ujjwala. Unable to distinguish between the poet and the poetry, she sets out on a journey to meet the poet in a place called Phulwari. Sapna believes that Ujjwala is her dream man. Her wealthy father, worried by her distraction co ..."
7416,Nishant - The Night's End,Hindi,7.6,2 h 16 min,1975,18+,"Vishvam (Naseeruddin Shah) is one of four hoodlum brothers who rule a village with an iron grip with their father. He's infatuated with the schoolmaster's wife who suddenly gets abducted. Enraged, the schoolmaster instigates the villagers to rebel against the brothers. Is Vishvam somehow involved in her abduction? Will the woman reunite with her husband?"
7417,Sabyasachi,Bengali,8.2,2 h 25 min,2017,13+,"A Bengali film about a talented and intelligent man named Sabyasachi, inspiring people to rise against the British rule."
7418,Ye Mantram Vesave,Telugu,3.9,2 h 2 min,2018,All,"Ye Mantram Vesave is a story about a youngster, Nikky (Vijay Deavarakonda) who is obsessed with gadgets and plays a game to pick up women. However, as the game progresses, things go awry when a woman's life Rags (Shivani) gets into danger."
7419,Subarnarekha,Bengali,7.6,2 h 1 min,None,NR,"The film tells the story of Ishwar Chakraborty (Abhi Bhattacharya), a Hindu refugee from East Pakistan after the 1947 partition of India. He goes to West Bengal with his little sister Sita (Indrani Chakrabarty) where he tries to start a new life. In a refugee camp, they see the abduction of a low-caste woman and Ishwar takes her little son Abhiram (Sriman Tarun) with him. He gets a job at a ..."
7420,Chef,Hindi,5.7,2 h 11 min,2017,13+,Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.
7421,Kalippattam,Malayalam,7,2 h 20 min,1993,All,The story is about the love between a violinist played by Mohanlal and a terminally ill girl played by Urvashi.
7422,Aur Pyar Ho Gaya,Hindi,4.7,2 h 34 min,1997,NR,"Aashi's (Aishwarya Rai) marriage has been arranged with a rich garment chain owner. However, she is not prepared to plunge into an arranged marriage unless she checks out the man herself! So she heads to Switzerland where she meets another man, Bobby Oberoi (Bobby Deol), who claims to be her husband-to-be and falls in love with him."
7423,Angoor,Hindi,8.3,2 h 16 min,1982,All,"Adapted from Shakespeare's The Comedy of Errors, the story is about two pairs of identical twins, 'Ashok' and 'Bahadur', who are separated at birth and later meet in adulthood, causing confusion. While one of the pairs is honest and the other is wanted by the police."
7424,Jaanisaar,Hindi,5,1 h 58 min,2015,13+,"When Raja Amir, an Indian prince raised in London, returns to India, he is bowled over by Noor, a revolutionary courtesan. However, while her loyalties lie with India, his lie with England."
7425,Gudachari 116,Telugu,7.7,2 h 20 min,1984,NR,"Gudachari 116 is a 1984 Indian Telugu film, directed by Mallikharjuna Rao and produced by Sundarlal Nahta. The film stars Krishna and Jayalalitha in lead roles. The music of the film was composed by T Chalapathi Rao."
7426,Paper Boy,Telugu,4.8,2 h 2 min,2018,13+,"The film is a rom-com which explores the life of a young paperboy. A poor paperboy falls in love with a girl from a wealthy family. Gradually, the girl falls for him too but will their families accept the difference in financial status between the two of them or will it remain an obstacle between the two of them getting together, forms the crux of the story."
7427,"Client, The",English,6.8,2h,1994,13+,"A boy witnesses the suicide of a mob lawyer, and learns a secret the crooks will kill to protect. Help comes in the form of a female lawyer whose love of kids and knowledge of the law allows her young client to serve justice and his family."
7428,New York,Hindi,6.8,2 h 31 min,2009,13+,"NEW YORK is a contemporary story of 3 young friends (John Abraham, Katrina Kaif and Neil Nitin Mukesh) set against the larger than life backdrop of NYC, whose beautiful lives are turned upside down by the larger event of 9/11. Enter Agent Roshan (Irrfan), a FBI undercover agent who sets the ball rolling for a set of events that turn the lives of these friends into a thrilling roller coaster ride."
7429,Joydev,Bengali,None,1 h 41 min,None,NR,"Joydev was great religious poet from West Bengal, who was inspired by Radha and Krishna. He goes through all the pains and perils to devote his whole life in the praise of God. While he goes onto perform miracles, his journey isn’t as easy since he put through various trials too, showing his reverence and the touch of destiny that he holds."
7430,Hathyar,Hindi,5.6,2 h 13 min,2002,18+,"Unexpected circumstances force an innocent man to turn into a mob boss, just like his father was. Soon, he gains immense popularity, causing a few politicians to think of him as a threat to them."
7431,Dennis the Menace: Cruise Control,English,5.2,1 h 10 min,2002,All,"Mr. Wilson goes on a cruise to get away from Dennis, but Dennis and his friends and family come along."
7432,Brombhodoityo,Bengali,None,1 h 24 min,2020,13+,"What happens when a folklore researcher ends up ordering a vintage demon from a mysterious website ? Watch the spine chilling tale of ""Bromhodoityo""."
7433,Lenz,English,6.1,1 h 32 min,1982,NR,"An adaptation of Georg Büchner’s novella, Lenz, chronicling the poet Jakob Lenz’s gradual descent into insanity and madness. The setting is transposed from 18th century Germany to New York in the early 1980s, specifically the Upper East Side of New York City."
7434,Transformers: Dark of the Moon,Bengali,6.2,2 h 34 min,2011,13+,"The Autobots learn of a Cybertronian spacecraft hidden on the Moon, and race against the Decepticons to reach it and learn its secrets, which could turn the tide in the Transformers' final battle."
7435,Kalathur Kannamma,Tamil,6.7,2 h 58 min,1959,All,"Gemini Ganesan is the son of Balaiah, a rich landlord. Savithri is the daughter of a poor peasant who works for Balaiah. Gemini Ganesan and Savithri fall in love. Gemini persuades her and they marry secretly. Gemini goes abroad for higher education. But Balaiah disapproves Gemini-Savithri marriage. Aftermath what happens to the secret wedded couple forms the rest of the story."
7436,Sniff,Hindi,5.4,1 h 28 min,2017,NR,"8-year-old Sunny Gill has always had a blocked nose, and therefore, no sense of smell. An accident gives Sunny the most refined sense of smell ever. The entire dog squad of the country's police force cannot sniff what he can. But is that enough for Sunny and his young pals, Google and Twitter to combat a menacing & ruthless gang of car thieves? What starts out with tracing a single missing c ..."
7437,Karz Kunkavache,Marathi,None,2 h 8 mins,2007,13+,"Karz Kunkavache' is a story on a woman (Monha), who is reincarnated after being killed by her husband in her previous life for money."
7438,Jani Dekha Hobe,Bengali,None,1 h 44 min,2019,13+,"A budding muscian and an aspiring model fall in love, but they start to fall apart. Will they be brought back together?"
7439,Chhota Bheem - The Crown Of Valhalla,Hindi,6.6,1 h 4 min,2013,All,Bheema and his friends get stuck in a Viking island. They promised to find the magical crown of Valhalla for Prince Fenir. But there is the notorious and shrewd pirate Valcery standing between the island and Bheema and his friends. Will Bheema succeed in finding the crown?
7440,Balaveerulu,Telugu,None,1 h 58 min,1999,NR,"Balaveerulu is a 1999 Indian Telugu film directed by SM Panja Anil and produced by R Keshavraj Naidu. The film stars Babu Mohan, Narasimha Raju, Chittibabu, Tajeshali Baba, T Sunil Singh and Alex in the lead roles. The music of the film was composed by B Gururaj."
7441,Bakrid,Kannada,7.3,1 h 58 min,2019,All,"Rathinam, a farmer, finds a camel calf and decides to keep it as a pet. Later, he sets out on a journey to Rajasthan in order to ensure the camel's survival."
7442,Undga,Marathi,8.6,1 h 58 mins,2017,13+,"Vijya, a studious boy, and Ganya, a mischievous troublemaker, are best friends and have only recently completed their secondary education. On their first day of college, Vijya sees Meera and falls in love with her. Soon, their relationship blooms but things take a drastic change after a misunderstanding creeps up."
7443,IIT Krishnamurthy,Telugu,5.7,1 h 50 min,2020,All,Krishnamurthy who is an IIT Bombay student comes to Hyderabad and gets to know that his uncle is missing. The entire story revolves around the mysterious missing case of Krishnamurthy's uncle.
7444,Tu Hi Re,Marathi,6.7,2 h 14 mins,2015,13+,"A woman (Sai Tamhankar), strongly opposed to arranged marriages, gets married to a man (Swwapnil Joshi) against her choice. Years later, their marital bliss complicates with the arrival of his former lover (Tejaswini Pandit)."
7445,Baba Loknath,Bengali,None,2 h 19 min,2019,13+,"Devotional and divine, this biographical saga sheds light on the inspiring and miraculous life of Baba Loknath, an Indian saint, yogi and mystic who lived in Bengal during the 18th-century"
7446,Guddi,Hindi,7.2,1 h 55 min,1981,All,"Kusum disregards her family's efforts to get her married as she is obsessed with the famous filmstar, Dharmendra. Tired with her antics, her uncle contacts him to teach her the realities of life."
7447,NH-8 Road to Nidhivan,Hindi,2.9,1 h 35 min,2015,NR,"To make quick money, four friends choose to risk their lives and sign a contract, which expects them to shoot a documentary on Nidhivan, a mysterious place in Mathura. According to legend, no one manages to survive there in the night as Lord Krishna and Radha perform their Ras Lila at the time."
7448,Pimpal,Marathi,7.5,1 h 32 mins,2018,All,"Arvind a widower misses his wife a lot, his sons are settled in US and want him to come and stay with them. But he prefers staying in India. His daily routine is walk, meals & video calls to his children. He has a caring Doctor Meghna and House help Tukaram. But he still feels alone and remembers his past. One day Arvind suddenly decides to go to US and things start to change."
7449,Sapne Saajan Ke,Hindi,3.3,2 h 42 min,1992,NR,"Shalini would like her daughter, Jyoti, to get married to Gulshan, the only son of a wealthy family. However, Jyoti does not like him and would prefer to marry someone else. She comes across Deepak, an eligible young, and wealthy man, and both instantly fall in love with each other. She introduces Deepak to her mom, and she approves of this match. Shortly thereafter, Jyoti finds out that Dee ..."
7450,Jurassic Attack aka Rise of the Dinosaurs,Telugu,2.3,1 h 23 min,2016,16+,A group of soldiers attempting to rescue a hostage from a terrorist crash land into unfamiliar jungles which are inhabited by a group of long hidden dinosaurs. Now they must find a way out of this isolated valley before becoming prey for prehistoric predators.
7451,Ishtangaaa,Telugu,7.1,2 h 2 min,2018,13+,"Ishtanga/Istanga is the story of Krishna (Arjun Mahi,) who does not believe in love, relationships or marriage. Satya (Tanishq Rajan), a content writer falls in love with him and gets closer to him. She learns about her pregnancy when Arjun decides to fly abroad. How do they deal with the situation? Whether their relationship will see a happy ending or not forms the story."
7452,Jajantaram Mamantaram,Hindi,5.8,1 h 50 min,2003,All,"Jajantaram Mamantaram Is A Bollywood Action Comedy Kids Hindi Movie, Directed By Soumitra Ranade, Starring Jaaved Jaffrey, Gulshan Grover And Manav Kaul In The Lead Roles. It Was Nominated For Best Special Effects Award. Aditya Finds His Way To An Island After He Is Shipwrecked. Here, He Realises He Is A Giant Among The Other Inhabitants, Who Think Of Him As Their Saviour From A Demon."
7453,Dikkulu Chudaku Ramayya,Telugu,6,2 h 23 min,2014,13+,"Krishna (Ajay), a 40-year-old bank employee, and Madhu (Naga Shourya), his young son, by a twist of fate, fall in love with the same girl. However, Madhu discovers his father's intentions and tries to warn his mother."
7454,Ratha Yatra,Telugu,None,2 h 24 min,1997,NR,"Ratha Yatra is a 1997 Indian Telugu film, directed by Kodi Ramakrishna and Produced by S. Gopal Reddy. The film stars Rajashekhar, Roja and Kasthuri in lead roles. The music of the film was composed by Vidyasagar."
7455,Guru - Marathi,Marathi,5.4,2 h 22 mins,2016,NR,"Guru, a small-time conman earns his livelihood by manipulating the rich people. His life takes a drastic turn when he happens to witness a murder in the city. He escapes to his village in order to avoid trouble, only to find out that his fellow villagers are being forced to evict to make way for a Mega City! Situations turn all the more worse for him when the conspiracy he's been running awa ..."
7456,Pishach,Bengali,None,18min,2018,13+,The city is brimming with tension over the decomposed meat scandal. Will the society have difficulty in digesting the reality? Watch the full movie on Hoichoi.
7457,David,Tamil,6.2,2 h 2 min,2013,13+,"Two Davids living in different parts of India and coping up with their own problems in life, finally meet each other one day in a twist of events."
7458,Akari Kshanam,Telugu,None,2 h 5 min,1989,NR,"Akari Kshanam is a 1989 Indian Telugu film, directed by K. Ranga Rao and produced by V. Srinivasa Rao. The film stars Bhanu Chander, Suresh, Ashwini and Nutan Prasad in lead roles. Music of the film was composed by Raj-koti."
7459,SI 3,Tamil,6.2,2 h 31 min,2017,All,"A reputed cop from Tamil Nadu takes charge in Andhra Pradesh to solve the mysterious murder of a top police officer, and takes on local thugs and criminals during the course of his mission."
7460,Ranakshetra,Bengali,None,2 h 20 min,2017,13+,A Bengali film about Raja’s revenge for his brother’s murder in the hands of a corrupt minister’s drug-peddling son.
7461,Bibaho Diaries,Bengali,7.3,2 h 5 min,2019,13+,"A comedy film about the funny yet emotional journey of marriage, portrayed from the point of view of a modern couple."
7462,10th Lo Premalo Padithe,Telugu,None,2 h 27 min,2010,NR,"10th Lo Premalo Padithe is a 2010 Indian Telugu film, directed by Kasturi Raja and produced by YT Naidu. The film stars Kiran Rathod, Hareef Kumar and Preethi Puttani in lead roles. Music of the film was composed by Kasturi Raja"
7463,Gujju Rocks,Gujarati,None,1 h 58 min,2016,All,"Gujju Rocks revolves around a rich business man, Jayant Kansara, who owns a travel agency. Kansara is married to his childhood sweetheart, Kishori; however, he is hit by the mid-life crisis that has been affecting his personal and professional life. Kansara gets into an extra-marital affair with her secretary to light up his wife. Watch this roller coaster ride."
7464,Dhada,Telugu,3.7,2 h 27 min,2011,13+,"Viswa falls in love with Rhea, only daughter of Mukesh Rishi. Viswa gets into a quarrel with RD's Gang. Viswa's elder brother Rajiv works for RD. Rhea's father against her will, sets proposal with business tycoon's son Amit. Amit locks Rhea and throws the Car into an ocean but Viswa risks his life to save Rhea."
7465,The Defender,Hindi,4.9,1 h 27 min,2004,18+,"The Defender Is A Hollywood Action Movie, Directed By Dolph Lundgren, Starring Dolph Lundgren, Jerry Springer, Shakara Ledard, Thomas Lockyer And Caroline Lee Johnson In The Lead Roles. Lance Must Protect A Man Who Represents What He Has Been Fighting Against, All His Life. To Make Matters More Complicated Is The Involvement Of The Government. Is Lance Successful In His Mission ?"
7466,Rowdeelaku Rowdeelu,Telugu,None,2 h 10 min,1971,NR,"Rowdeelaku Rowdeelu is a 1971 Indian Telugu film, directed by K S R Dass and produced by Pinjala Nageswar Rao. The film stars Ramakrishna, Vijayalalitha, Jyothilakshmi and Sridhar in lead roles. The music of the film was composed by Sathyam."
7467,Carts of Darkness,English,7.7,60min,2020,13+,"Carts of Darknes showcases a subculture where shopping carts are used for extreme sports. The film follows filmmaker Murray Siple who got into cart-racing 12 years after a car accident left him quadriplegic. In this sport, shopping carts are used to race down the steep slopes of North Vancouver. Homeless men also join this exciting sport which they use to wheel out of their difficult situations."
7468,A Scandall,Telugu,3.1,1 h 48 min,2016,18+,"A film crew explore a man's strange life of paranormal hallucinations of his deceased daughter and complete metamorphosis. However, their investigation uncovers secrets of murder, sex and incest."
7469,Suno Baranari,Bengali,7.7,2 h 1 min,None,NR,Himangshu is a villageman who apart from practicing homeopathy helps the local people with their odds and ends. One day he gets a call from a rich man to escort his daughter Juthika to Patna. At first the rich and spoilt lady takes much disliking for the plain and simple Youngman but after having seen him from close quarters starts liking him. Soon her marriage is fixed to a bigshot. She con ...
7470,Goyenda Junior,Bengali,6.1,1 h 57 min,2019,All,"Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !"
7471,Daivathinte Swantham Cleetus,Malayalam,4.7,1 h 59 min,2013,All,A skit on Jesus Christ brings out a change in good-hearted rowdy Cleetus along with revealing few surprises of his nature and his relationship with a neighborhood tailor.
7472,Antony Firingee,Bengali,7.5,2 h 28 min,2017,13+,The story revolves around Henman Anthony and his life once he decides to become a Bengali language poet.
7473,Chicken Ghee Roast,Bengali,None,4min,2020,13+,Chicken Ghee Roast
7474,Cheekh,Hindi,8.4,2 h 11 min,1985,NR,"Thakur lives a normal life with his daughter, but suddenly a mysterious killer starts to take revenge, and everyone is puzzled by a clever mind game."
7475,Hushaaru,Telugu,6.9,2 h 22 min,2018,18+,"Four engineering graduates from middle-class families, clueless about their lives enjoy being in each other's company, making the most of their energy. Just when things are going smooth, a personal setback hits them hard. How they rise above it and help their friendship stand the test of character and time is the story of Husharu."
7476,Mayor Chakravarthy,Telugu,7.9,2 h 22 min,2000,NR,"Mayor Chakravarthy is a 2000 Indian Telugu film, directed by S Manivasan and produced by Midathala Narayana Rao. The film stars Sharath Kumar, Meena, Raghuvaran and Goundamani in lead roles. The music of the film was composed by Deva."
7477,This Side of Paradise,English,6.5,36min,1999,NR,"After the death of John F. Kennedy, Jackie wanted to give her children something to distract them. She thought about buying a film camera. Peter Beard suggested to Jackie that she asked Jonas Mekas for this project. So, in the late 60s, early 70s, Mekas spent several summers with the Kennedy family."
7478,Tomai Pabo Bole,Bengali,None,2 h 19 min,2017,13+,A Bengali film about the love blooming between the son and the daughter of two rival families. Will their love survive?
7479,Underworld Awakening,Marathi,6.4,1 h 28 mins,2012,18+,"After awakening from a fifteen-year coma, Selene discovers she has a fourteen-year-old vampire-Lycan hybrid daughter and that they must stop a bio-tech company from creating an army of super-Lycans."
7480,"10,000 B.C.",Tamil,5.1,1 h 48 min,2008,13+,"In the year 10,000 B.C., a hunter loses his woman to an evil warlord, sohe gathers together a massive army to mount a daring rescue."
7481,Naa Preyasi Mandakini,Telugu,None,1 h 38 min,2001,NR,"Naa Preyasi Mandakini is a 2001 Indian Telugu film, directed by S.P.Sankar and Produced by G.S.L.D.Moorthy. The film stars Hema, Ranjith Kumar and Ganga in lead roles. The music of the film was composed by Mamatha, Rambabu and Venkatesh."
7482,George Reddy,Telugu,7.2,2 h 30 min,2019,13+,"George Reddy is a Biopic of a student leader, Boxer and Gold medallist who influenced Andhra Pradesh politics in Osmania University between 1962 and 1972. He inspired revolutionary thoughts until he was brutally murdered in his hostel in 1972."
7483,Jurassic City,Hindi,3.3,1 h 23 min,2015,13+,"When a top-secret laboratory is unexpectedly breached, thousands of rampaging raptors are unleashed on Los Angeles! A black-ops unit is mobilized to contain the creatures before they cause city-wide chaos. Simultaneously, a truckload of raptors is rerouted to a nearby prison. Upon their escape, these ferocious flesh-eaters are beyond containment. This is Jurassic judgment night for smoking h ..."
7484,Jamai Baron,Bengali,None,2 h 23 min,2017,13+,A Bengali film about a boy forced to become a boxing coach to his boss’s daughter. But will he return to his village?
7485,Pattas (Tamil),Tamil,5.7,2 h 20 min,2020,All,An ancient Martial art form of Tamilnadu is in the verge of extinction. The hero wants to make it popular yet again among the current generation showcasing it's rich values & merits. Will the hero be able to accomplish his desire?
7486,Johar Mehmood In Goa,Hindi,None,2 h 15 min,None,NR,"Mary and Peter fall in love with each other and are about to get married, when Peter is asked to re-join his regiment to go to war. Shortly thereafter, he is missing, believed to be dead, leaving behind a devastated Mary who subsequently gives birth to twins, and leaves them on the doorsteps of two Goan households, and becomes a nun. Twenty-four years later, India is a free country, while Go ..."
7487,PRAWAAS,Marathi,7.9,2 h 13 mins,2020,All,When his kidneys fail to function. How a 65-years retired man Abhijat Inamdar one day finds a path which takes him on unique and never seen before journey along with his wife Lata.
7488,The Society Murders,English,5.8,1 h 33 min,2006,16+,"This is the story of Margaret Wales and Paul King's disappearance as seen through the eyes of their children, and observed by a public captivated by a family fracturing under suspicion and stress."
7489,Hennu Honnu Mannu,Kannada,None,1 h 46 min,1971,NR,"Hennu Honnu Mannu is a 1971 Indian Kannada film, directed by M.V.Varadaraju and Produced by M.V.Varadaraju and N.D.Ramesh. The film stars Rajesh, Udayachandrika, M P Shankar and Thoogudeepa Srinivas in lead roles. The music of the film was composed by Upendra Kumar."
7490,Pooja Ke Phool,Hindi,7,2 h 41 min,None,All,"Pooja Ke Phool Is A Bollywood Hindi Family Drama Movie, Directed By A. Bhimsingh And Produced By A. V. Meiyappan, Starring Ashok Kumar, Mala Sinha And Dharmendra In The Lead Roles. A Young Man Named Raj Ends Up In A Delirious Love Triangle As He Attempts To Balance The Two Women In His Life."
7491,Pak Pak Pakaak,Marathi,7.3,2 h 17 mins,2015,All,"A young mischievous boy, Chiklu, ventures into a big forest which is supposedly haunted by a ghost, Bhootya. After several encounters, Chiklu befriends Bhootya, changing their lives forever."
7492,Premsutra,Marathi,3.1,1 h 49 mins,2013,13+,"Focused on his career and some light fun on the side, 35yr old Anand who is a mine engineer, prefers to stay away from marriage and commitment. He meets the simple and happy-go-lucky Saniya on a work trip to Goa which ends up in a one night stand on that first trip. He gets a shock, when Saniya reveals she is pregnant! What happens next ?"
7493,The Expendables 2,Marathi,6.6,1 h 38 mins,2012,18+,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
7494,Zombieland: Double Tap,English,6.7,1 h 39 min,2019,18+,"Through comic mayhem from the White House to the heartland, four slayers face off against new kinds of evolved zombies and new human survivors."
7495,IIT Krishnamurthy (Malayalam),Malayalam,5.7,1 h 50 min,2020,All,Krishnamurthy who is an IIT Bombay student comes to Hyderabad and gets to know that his uncle is missing. The entire story revolves around the mysterious missing case of Krishnamurthy's uncle.
7496,Kanthari,Malayalam,3.1,1 h 52 min,2015,13+,"Rani, a bold girl who lives on the fringes of society, happens to meet Ameer, a rich man with disabilities. As both have suffered a lot in life, they find solace in each other."
7497,Choopulu Kalisina Shubhavela,Telugu,None,2 h 2 min,1988,NR,"""Anand Mohan (Mohan) works as a manager in a company owned by Pandurangam (Suthi Veerabhadra Rao). Padma (Ashwini) daughter of Pandurangam's brother Nagalingam (Nutan Prasad) stays in his house and goes to college. Anand falls in love with her. But he is afraid to reveal it to Pandurangam because of the fear of losing his job. Anand receives a letter from his friend Lakshmi Prasad (Naresh). ..."
7498,Tawaif,Hindi,7.1,2 h 22 min,1985,All,"Due to unforeseen circumstances, Dawood is forced to accept Sultana, a courtesan, as his wife in spite of being in love with an author, Kaynat. Dawood must figure out who he truly wants to be with."
7499,Sindhooram,Telugu,7.4,2 h 37 min,1997,All,"Sindhooram, a National Award film, is about a young man, Bulliraju (Brahmaji) who believes that he can fight against injustice by joining the police force. However, his dreams are shattered when he gets a taste of the ugly side of the law."
7500,Bhanu Goenda Jahar Assistant,Bengali,6.9,1 h 47 min,1971,NR,"Nupur fled from her Delhi house because of her marriage had been fixed with a very ugly looking man. She came to Calcutta to her college friend, but that place was not safe for her. As a result, she took shelter in Anjan Mukherjee’s house. Anjan a bachelor music director and singer, originally from Lucknow initially became very irritated and disturbed, but later he understood the problem of ..."
7501,Paapam Cheyyathavar Kalleriyatte,Malayalam,5.6,1 h 56 min,2020,13+,"The hypocrisy in morality turns out to be a major tool for writer-director Shambhu Purushothaman's sophomore film. Surprisingly, the theme has striking similarities with his debut film's ('Vedivazhipadu' in 2013), Rohan's family arranges his marriage with the daughter of another elite family. However, unforeseen events befall when the bride-to-be turns out to be unconventional."
7502,Jappanil Kalyanaraman,Tamil,6,2 h 18 min,1985,NR,"Jappanil Kalyanaraman is a 1985 Indian Tamil film, directed by S. P. Muthuraman and produced by Meena Panchu Arunachalam. The film stars Kamal Hasan, Radha and Satyaraj in lead roles. The film had musical score by Ilaiyaraaja."
7503,F2 - Fun and Frustration,Hindi,6.2,2 h 25 min,2019,13+,"Venky gets married & starts getting irritated with his wife. Varun loves his wife's sister Honey. Venky suggests Varun not to marry Honey seeking his own experiences through marriage but however he gets married. In no time, Venky & Varun become frustrated husbands. Both men head towards Europe & their wives too follow. How they get into fights & how they patchup creates Comic space & Fun time."
7504,Bhalo Theko,Bengali,7.2,1 h 59 min,2017,13+,A Bengali film about a girl who is loves her brother’s friend. What happens when the love of her life goes abroad?
7505,Love Games,Hindi,4.3,1 h 48 min,2016,16+,A pair of nymphomaniacs compete in seducing couples to sleep with them.
7506,Raja Rani Raji,Bengali,None,2 h 19 min,2018,All,Raja Rani Raji is a Bengali movie starring Bonny Sengupta and Rittika Sen in prominent roles. It is a romantic drama directed by Rajib Kumar Biswas.
7507,Tukaram,Marathi,7.3,2 h 41 mins,2012,All,"Tukaram was a saint born in Dehu, a village near Pune.  As he grows up he takes up the family responsibility as his elder brother is not interested in the material world. He loses his parents & family members; during a terrible three year-long famine. He realizes that the perennial treasure of God's grace is far more valuable than ephemeral worldly riches & he shifts his focus to divine worship."
7508,Darr,Hindi,7.8,2 h 56 min,1993,13+,"DARR is Rahul’s (Shahrukh Khan) story whose love and obsession for Kiran (Juhi Chawla) frees him from all fears of life & death. It is Sunil’s (Sunny Deol) story, whose enduring love & passion for Kiran gives him the courage to face the fear of death. It is Kiran’s story caught between one man’s love & another man’s obsession. She fears one & fears for the other."
7509,Vanaja Girija,Tamil,5.1,2 h 26 min,1994,NR,"Vanaja Girija a 1994 Indian Tamil film, directed by Keyaar and produced by Meena Panju. The film stars Napoleon, Ramki, Kushboo, Mohini, Urvashi, Senthil, Kavitha in lead roles. The film had musical score by Ilaiyaraaja."
7510,A Christmas Shop Fka Sharing Christmas,English,6.1,1 h 25 min,2017,All,"When the future of her old-fashioned Christmas shop is threatened by an ambitious real estate developer, a determined tenant must find a way to convince him that her beloved shop is worth saving."
7511,Deewana Tere Naam Ka,Hindi,5,1 h 37 min,1987,NR,"Lifelong friends Shankar and Shambhu fall in love with the same woman, who decides to marry Shankar. Angry and ashamed, Shambhu decides to break off their friendship and challenges his old friend to a race, where the loser must leave the region for good. What will happen when the two friends collide?"
7512,Transformers: Dark of the Moon,Telugu,6.2,2 h 34 min,2011,13+,"The Autobots learn of a Cybertronian spacecraft hidden on the Moon, and race against the Decepticons to reach it and learn its secrets, which could turn the tide in the Transformers' final battle."
7513,Tyler Perry's Boo 2! A Madea Halloween,English,3.8,1 h 40 min,2017,13+,Madea and friends scare up big laughs on a hell-arious journey to rescue her niece from a haunted campground in this screamingly funny follow-up to Tyler Perry's comedy hit.
7514,Sye Raa Narasimha Reddy (Malayalam),Malayalam,7.4,2 h 49 min,2019,13+,"This film is about the first revolt of any kind (1847) against the British Raj in India anchored by Uyyalawada Narasimha Reddy aka Lion of Renadu (A region in Rayalaseema- Andhra Pradesh), nickname with which he was fondly called by his followers."
7515,Immortals,Hindi,6,1 h 45 min,2011,18+,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
